customer_id,signup_days_ago,tenure_months,plan_type,monthly_fee,usage_minutes,num_support_calls,contract_type,payment_method,last_active_days_ago,churned,is_premium,support_calls_per_month,recent_activity_flag
C100000,1156,36,basic,20,379,1,monthly,card,864,0,0,0.028,0
C100001,1489,47,standard,40,371,0,monthly,card,152,0,0,0.0,0
C100002,890,28,premium,80,375,1,monthly,card,528,0,1,0.036,0
C100003,1324,46,standard,40,411,0,monthly,card,338,0,0,0.0,0
C100004,1160,37,basic,20,367,0,monthly,upi,748,0,0,0.0,0
C100005,1125,36,basic,20,404,0,monthly,bank_transfer,1079,0,0,0.0,0
C100006,1754,56,standard,40,407,0,monthly,bank_transfer,555,0,0,0.0,0
C100007,1074,34,basic,20,357,0,annual,upi,752,0,0,0.0,0
C100008,1668,53,standard,40,374,0,monthly,card,930,0,0,0.0,0
C100009,151,7,standard,40,319,2,monthly,card,38,1,0,0.286,0
C100010,496,17,standard,40,332,0,monthly,upi,129,0,0,0.0,0
C100011,1268,40,standard,40,378,0,monthly,card,97,0,0,0.0,0
C100012,360,14,basic,20,332,1,monthly,bank_transfer,280,0,0,0.071,0
C100013,1512,51,basic,20,372,0,monthly,card,421,0,0,0.0,0
C100014,117,3,basic,20,316,0,monthly,bank_transfer,67,0,0,0.0,0
C100015,1426,45,standard,40,411,1,monthly,card,79,0,0,0.022,0
C100016,1153,36,standard,40,386,0,monthly,bank_transfer,287,0,0,0.0,0
C100017,901,30,standard,40,337,1,monthly,upi,846,1,0,0.033,0
C100018,1717,57,standard,40,414,1,monthly,bank_transfer,168,0,0,0.018,0
C100019,160,3,premium,80,330,1,annual,card,78,1,1,0.333,0
C100020,1715,57,basic,20,408,0,annual,card,70,0,0,0.0,0
C100021,1362,44,basic,20,397,0,monthly,card,262,0,0,0.0,0
C100022,799,27,basic,20,341,0,monthly,bank_transfer,711,1,0,0.0,0
C100023,373,13,standard,40,326,0,monthly,card,210,0,0,0.0,0
C100024,1545,52,basic,20,418,0,monthly,upi,529,0,0,0.0,0
C100025,1467,47,standard,40,357,0,monthly,bank_transfer,784,0,0,0.0,0
C100026,835,27,standard,40,352,0,monthly,upi,209,0,0,0.0,0
C100027,415,15,premium,80,324,1,monthly,card,116,0,1,0.067,0
C100028,1245,41,premium,80,407,1,monthly,upi,615,0,1,0.024,0
C100029,985,30,basic,20,344,0,monthly,bank_transfer,76,1,0,0.0,0
C100030,306,11,basic,20,312,0,monthly,bank_transfer,10,0,0,0.0,1
C100031,1214,40,standard,40,420,0,monthly,card,1074,0,0,0.0,0
C100032,489,18,basic,20,331,1,monthly,card,6,0,0,0.056,1
C100033,1367,43,basic,20,367,0,monthly,card,954,0,0,0.0,0
C100034,51,1,standard,40,306,0,annual,card,36,0,0,0.0,0
C100035,282,8,basic,20,286,1,annual,card,260,0,0,0.125,0
C100036,777,27,standard,40,337,1,monthly,upi,573,0,0,0.037,0
C100037,886,27,standard,40,343,1,annual,card,511,0,0,0.037,0
C100038,1614,54,basic,20,384,0,monthly,card,199,0,0,0.0,0
C100039,504,16,basic,20,305,0,monthly,card,329,0,0,0.0,0
C100040,1112,35,basic,20,382,0,monthly,upi,89,0,0,0.0,0
C100041,540,17,standard,40,323,0,monthly,card,54,0,0,0.0,0
C100042,1735,59,basic,20,442,0,monthly,card,1244,1,0,0.0,0
C100043,1529,52,premium,80,385,0,monthly,card,91,0,1,0.0,0
C100044,729,24,basic,20,350,0,monthly,bank_transfer,585,1,0,0.0,0
C100045,1005,35,basic,20,378,0,monthly,card,55,0,0,0.0,0
C100046,1836,63,basic,20,420,0,annual,card,1767,0,0,0.0,0
C100047,219,5,basic,20,278,0,monthly,card,178,0,0,0.0,0
C100048,987,33,basic,20,349,1,annual,card,963,0,0,0.03,0
C100049,716,23,standard,40,348,0,monthly,card,60,1,0,0.0,0
C100050,987,30,standard,40,354,1,annual,bank_transfer,871,0,0,0.033,0
C100051,592,20,basic,20,348,1,annual,bank_transfer,116,0,0,0.05,0
C100052,1929,62,basic,20,425,1,monthly,card,589,0,0,0.016,0
C100053,1620,52,standard,40,385,1,monthly,card,235,0,0,0.019,0
C100054,1297,45,standard,40,404,1,monthly,card,32,0,0,0.022,0
C100055,861,29,basic,20,341,0,annual,card,566,0,0,0.0,0
C100056,1558,51,standard,40,405,0,monthly,card,1266,1,0,0.0,0
C100057,1184,39,basic,20,355,1,monthly,bank_transfer,785,1,0,0.026,0
C100058,1538,52,standard,40,399,0,monthly,card,1097,0,0,0.0,0
C100059,1872,64,basic,20,455,0,annual,bank_transfer,20,0,0,0.0,0
C100060,676,21,basic,20,330,0,monthly,card,153,0,0,0.0,0
C100061,50,1,premium,80,300,0,monthly,card,14,0,1,0.0,1
C100062,870,31,basic,20,367,0,monthly,card,148,0,0,0.0,0
C100063,196,7,standard,40,325,1,monthly,card,149,0,0,0.143,0
C100064,1327,42,basic,20,380,1,monthly,upi,301,0,0,0.024,0
C100065,417,13,standard,40,330,1,monthly,bank_transfer,296,0,0,0.077,0
C100066,630,20,premium,80,362,0,monthly,card,490,0,1,0.0,0
C100067,345,11,basic,20,293,0,monthly,bank_transfer,260,1,0,0.0,0
C100068,43,2,standard,40,305,0,monthly,card,43,0,0,0.0,0
C100069,271,7,standard,40,332,1,monthly,bank_transfer,143,0,0,0.143,0
C100070,806,27,standard,40,361,1,monthly,upi,243,0,0,0.037,0
C100071,1399,44,standard,40,396,0,monthly,bank_transfer,418,0,0,0.0,0
C100072,594,21,premium,80,343,0,monthly,card,516,0,1,0.0,0
C100073,927,29,basic,20,406,0,monthly,bank_transfer,61,0,0,0.0,0
C100074,1393,48,basic,20,379,0,monthly,upi,857,0,0,0.0,0
C100075,121,6,premium,80,292,2,monthly,card,25,0,1,0.333,0
